# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
5.47687 1.0396	1.0401	0.88933	0.889028	0.912116	0.913754	
5.493 1.03291	1.03342	0.883022	0.882716	0.905352	0.906973	
5.50913 1.02651	1.02701	0.877296	0.876985	0.899385	0.900989	
5.52526 1.02065	1.02116	0.87076	0.870443	0.891849	0.893434	
5.54139 1.01376	1.01426	0.866035	0.865712	0.88729	0.88886	
5.55753 1.009	1.0095	0.8604	0.860072	0.88148	0.883033	
5.57366 1.00293	1.00343	0.855964	0.855629	0.876413	0.877949	
5.58979 0.998452	0.998946	0.851866	0.851524	0.872642	0.874165	
5.60592 0.99331	0.993801	0.84785	0.847501	0.868742	0.87025	
5.62206 0.987894	0.988381	0.84414	0.843783	0.864752	0.866245	
5.63819 0.983525	0.984009	0.8415	0.841136	0.862064	0.863545	
5.65432 0.979387	0.979868	0.838693	0.83832	0.860007	0.861476	
5.67045 0.976348	0.976826	0.835487	0.835106	0.85773	0.859187	
5.68658 0.971273	0.971746	0.833812	0.833422	0.85629	0.857736	
5.70272 0.968042	0.968512	0.832396	0.831997	0.853927	0.855361	
5.71885 0.964666	0.965132	0.830611	0.830203	0.854128	0.855553	
5.73498 0.961824	0.962286	0.830311	0.829894	0.853824	0.85524	
5.75111 0.958395	0.958852	0.828938	0.828511	0.854164	0.855571	
5.76725 0.955501	0.955954	0.828562	0.828124	0.855288	0.856688	
5.78338 0.953524	0.953973	0.828089	0.827642	0.855274	0.856665	
5.79951 0.951296	0.95174	0.828518	0.828061	0.857227	0.858613	
5.81564 0.94922	0.94966	0.829398	0.828929	0.858703	0.860083	
5.83177 0.947417	0.947853	0.829715	0.829236	0.859883	0.861256	
5.84791 0.945751	0.946182	0.832046	0.831555	0.862758	0.864127	
5.86404 0.943347	0.943773	0.832388	0.831887	0.865543	0.866908	
5.88017 0.942163	0.942585	0.834182	0.83367	0.868605	0.869966	
5.8963 0.940128	0.940544	0.836451	0.835926	0.871517	0.872875	
5.91243 0.939546	0.939958	0.838084	0.837548	0.875008	0.876362	
5.92857 0.93907	0.939478	0.840306	0.839759	0.878289	0.879641	
5.9447 0.938717	0.93912	0.842611	0.842052	0.883391	0.884743	
5.96083 0.938331	0.93873	0.845614	0.845043	0.887241	0.888591	
5.97696 0.936918	0.937311	0.847416	0.846834	0.891207	0.892556	
5.9931 0.937604	0.937993	0.85056	0.849966	0.895709	0.897057	
6.00923 0.937279	0.937664	0.853841	0.853235	0.901074	0.902424	
6.02536 0.936939	0.937318	0.857169	0.856551	0.905307	0.906657	
6.04149 0.937037	0.937412	0.861288	0.860657	0.909278	0.910626	
6.05762 0.93785	0.938221	0.864292	0.86365	0.914378	0.915728	
6.07376 0.937815	0.938181	0.867579	0.866925	0.919778	0.92113	
6.08989 0.938061	0.938422	0.871458	0.870792	0.92439	0.925743	
6.10602 0.937438	0.937795	0.875468	0.87479	0.929621	0.930977	
6.12215 0.938336	0.938689	0.878744	0.878055	0.936093	0.937454	
6.13828 0.939496	0.939844	0.883399	0.882698	0.940963	0.942327	
6.15442 0.941095	0.94144	0.886737	0.886025	0.945425	0.946791	
6.17055 0.941544	0.941884	0.891274	0.890551	0.950475	0.951845	
6.18668 0.942941	0.943277	0.894972	0.894238	0.956548	0.957923	
6.20281 0.943544	0.943876	0.899057	0.898312	0.961659	0.963038	
6.21895 0.944805	0.945134	0.904067	0.90331	0.966876	0.968261	
6.23508 0.946221	0.946545	0.908412	0.907645	0.972752	0.974142	
6.25121 0.947668	0.947988	0.912753	0.911976	0.978415	0.979812	
6.26734 0.948369	0.948686	0.917333	0.916546	0.98437	0.985774	
6.28347 0.950394	0.950708	0.921389	0.920592	0.988456	0.989865	
6.29961 0.951695	0.952005	0.926565	0.925757	0.994717	0.996134	
6.31574 0.952626	0.952933	0.93095	0.930133	1.0001	1.00153	
6.33187 0.954232	0.954535	0.935089	0.934263	1.0046	1.00604	
6.348 0.956147	0.956447	0.940261	0.939425	1.01043	1.01187	
6.36413 0.957353	0.95765	0.944654	0.94381	1.01623	1.01769	
6.38027 0.959651	0.959945	0.949169	0.948316	1.01972	1.02118	
6.3964 0.961045	0.961337	0.952796	0.951936	1.02518	1.02665	
6.41253 0.962856	0.963144	0.957131	0.956263	1.02999	1.03147	
6.42866 0.964897	0.965184	0.961955	0.961079	1.035	1.03649	
6.4448 0.967178	0.967462	0.966489	0.965607	1.04039	1.04189	
6.46093 0.967369	0.96765	0.970961	0.970072	1.04486	1.04637	
6.47706 0.969223	0.969503	0.975608	0.974712	1.04921	1.05073	
6.49319 0.971592	0.97187	0.979717	0.978816	1.0533	1.05483	
6.50932 0.972978	0.973254	0.983982	0.983075	1.05693	1.05847	
6.52546 0.974638	0.974912	0.987218	0.986308	1.06161	1.06317	
6.54159 0.976729	0.977002	0.991536	0.99062	1.06667	1.06824	
6.55772 0.978115	0.978385	0.995153	0.994233	1.06918	1.07076	
6.57385 0.980317	0.980587	0.998753	0.99783	1.07459	1.07619	
6.58998 0.982072	0.98234	1.00264	1.00171	1.0772	1.07881	
6.60612 0.983992	0.984259	1.00647	1.00554	1.08035	1.08197	
6.62225 0.984826	0.985093	1.01005	1.00912	1.08299	1.08463	
6.63838 0.985955	0.986221	1.01347	1.01253	1.08744	1.08909	
6.65451 0.988037	0.988302	1.01677	1.01584	1.08904	1.09071	
6.67065 0.989432	0.989697	1.01968	1.01875	1.09131	1.09299	
6.68678 0.991131	0.991395	1.02295	1.02201	1.0946	1.09629	
6.70291 0.992268	0.992532	1.02551	1.02457	1.09661	1.09832	
6.71904 0.994081	0.994344	1.02875	1.02781	1.09897	1.10069	
6.73517 0.995023	0.995287	1.03107	1.03013	1.10072	1.10245	
6.75131 0.996134	0.996397	1.0335	1.03256	1.10226	1.10401	
6.76744 0.998092	0.998355	1.03601	1.03508	1.1036	1.10536	
6.78357 0.998738	0.999002	1.03764	1.03671	1.10574	1.10752	
6.7997 0.999768	1.00003	1.04028	1.03935	1.10663	1.10842	
6.81584 1.00133	1.00159	1.04161	1.04068	1.10744	1.10924	
6.83197 1.00214	1.00241	1.04376	1.04284	1.10788	1.10969	
6.8481 1.0034	1.00367	1.04626	1.04534	1.10816	1.10999	
6.86423 1.00386	1.00413	1.04734	1.04643	1.10873	1.11057	
6.88036 1.00496	1.00522	1.04877	1.04786	1.10822	1.11008	
6.8965 1.00656	1.00683	1.05009	1.04918	1.10902	1.11088	
6.91263 1.00666	1.00692	1.051	1.0501	1.10781	1.10969	
6.92876 1.00686	1.00713	1.05228	1.05138	1.10746	1.10935	
6.94489 1.00727	1.00755	1.05306	1.05217	1.10745	1.10935	
6.96102 1.00799	1.00826	1.05339	1.0525	1.10596	1.10787	
6.97716 1.00943	1.0097	1.0542	1.05332	1.10604	1.10797	
6.99329 1.00942	1.0097	1.05454	1.05366	1.10383	1.10576	
7.00942 1.00776	1.00804	1.05465	1.05378	1.10262	1.10456	
7.02555 1.00959	1.00986	1.05484	1.05397	1.10078	1.10274	
7.04169 1.00987	1.01015	1.05512	1.05425	1.10027	1.10224	
7.05782 1.00986	1.01014	1.05512	1.05426	1.09811	1.10008	
7.07395 1.01004	1.01032	1.05536	1.05451	1.095	1.09698	
7.09008 1.01047	1.01075	1.05509	1.05425	1.09273	1.09472	
7.10621 1.00982	1.01011	1.05404	1.05321	1.09098	1.09298	
7.12235 1.00994	1.01022	1.05379	1.05296	1.08845	1.09045	
7.13848 1.01064	1.01093	1.05332	1.0525	1.08522	1.08722	
7.15461 1.00982	1.01011	1.0533	1.05248	1.08417	1.08618	
7.17074 1.00926	1.00955	1.0521	1.05129	1.08047	1.08249	
7.18687 1.00952	1.00981	1.05159	1.05079	1.0778	1.07982	
7.20301 1.00946	1.00975	1.05013	1.04933	1.07555	1.07758	
