# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
5.8475 0.866898	0.868304	0.830054	0.829551	0.946014	0.946452	
5.86363 0.870203	0.871607	0.831243	0.830729	0.944209	0.944642	
5.87976 0.8714	0.872797	0.833171	0.832645	0.942529	0.942957	
5.89589 0.875248	0.876643	0.834345	0.833808	0.942277	0.942701	
5.91202 0.879137	0.880531	0.836417	0.835868	0.941128	0.941547	
5.92815 0.882632	0.884024	0.8386	0.838039	0.939993	0.940407	
5.94428 0.887163	0.888554	0.841171	0.840599	0.939847	0.940257	
5.96041 0.890986	0.892375	0.843985	0.8434	0.939225	0.93963	
5.97654 0.894808	0.896197	0.846196	0.845599	0.9385	0.938901	
5.99268 0.898995	0.900383	0.849518	0.84891	0.937357	0.937753	
6.00881 0.903925	0.905314	0.852683	0.852062	0.937218	0.93761	
6.02494 0.909667	0.911058	0.855726	0.855094	0.937226	0.937613	
6.04107 0.913811	0.915202	0.858847	0.858203	0.939016	0.939399	
6.0572 0.918569	0.919962	0.863183	0.862527	0.93817	0.938548	
6.07333 0.923361	0.924756	0.86626	0.865592	0.938531	0.938905	
6.08946 0.927531	0.928926	0.869736	0.869056	0.938965	0.939334	
6.10559 0.933087	0.934486	0.874026	0.873333	0.939564	0.93993	
6.12172 0.938721	0.940124	0.877402	0.876698	0.940122	0.940483	
6.13785 0.944038	0.945445	0.882358	0.881642	0.940429	0.940786	
6.15399 0.949178	0.950589	0.886034	0.885307	0.941378	0.941731	
6.17012 0.954655	0.95607	0.889558	0.88882	0.942088	0.942436	
6.18625 0.960285	0.961706	0.893897	0.893146	0.943109	0.943453	
6.20238 0.964991	0.966416	0.898794	0.898032	0.944116	0.944457	
6.21851 0.97015	0.97158	0.902806	0.902034	0.945715	0.946051	
6.23464 0.976058	0.977495	0.907318	0.906534	0.946478	0.94681	
6.25077 0.981647	0.983091	0.911912	0.911118	0.948503	0.948832	
6.2669 0.987283	0.988734	0.916029	0.915225	0.948554	0.948879	
6.28303 0.992377	0.993835	0.920344	0.919529	0.950877	0.951199	
6.29917 0.998508	0.999976	0.925481	0.924656	0.951913	0.952231	
6.3153 1.00214	1.00361	0.929491	0.928656	0.953336	0.953651	
6.33143 1.00884	1.01032	0.93342	0.932576	0.955201	0.955513	
6.34756 1.01349	1.01498	0.938007	0.937154	0.95642	0.956729	
6.36369 1.01847	1.01997	0.942818	0.941956	0.957203	0.957508	
6.37982 1.02371	1.02522	0.94717	0.946299	0.959978	0.960281	
6.39595 1.02925	1.03077	0.952014	0.951135	0.961031	0.961331	
6.41208 1.03274	1.03427	0.957042	0.956155	0.962433	0.96273	
6.42821 1.03894	1.04048	0.961322	0.960427	0.96509	0.965385	
6.44434 1.04366	1.04522	0.965261	0.96436	0.966586	0.966878	
6.46048 1.04827	1.04983	0.969386	0.968478	0.967703	0.967993	
6.47661 1.05288	1.05446	0.973523	0.972609	0.96982	0.970108	
6.49274 1.05678	1.05837	0.977549	0.976629	0.971838	0.972125	
6.50887 1.06222	1.06382	0.982258	0.981332	0.973329	0.973613	
6.525 1.06491	1.06653	0.985885	0.984954	0.974703	0.974986	
6.54113 1.06996	1.07159	0.990529	0.989593	0.97694	0.977221	
6.55726 1.07397	1.07561	0.993697	0.992757	0.978499	0.978778	
6.57339 1.07699	1.07865	0.997167	0.996224	0.980262	0.980541	
6.58952 1.08069	1.08236	1.00117	1.00023	0.982088	0.982365	
6.60565 1.08386	1.08554	1.00463	1.00368	0.983807	0.984083	
6.62179 1.08739	1.08909	1.00822	1.00727	0.98523	0.985506	
6.63792 1.09082	1.09253	1.01163	1.01067	0.987286	0.987561	
6.65405 1.09347	1.0952	1.0155	1.01454	0.988219	0.988493	
6.67018 1.0957	1.09744	1.0179	1.01694	0.990239	0.990512	
6.68631 1.09746	1.09921	1.02135	1.02039	0.99181	0.992083	
6.70244 1.10115	1.10292	1.02381	1.02285	0.992605	0.992877	
6.71857 1.10279	1.10457	1.02701	1.02605	0.994545	0.994817	
6.7347 1.10437	1.10617	1.02971	1.02875	0.99531	0.995583	
6.75083 1.10657	1.10839	1.03199	1.03103	0.997131	0.997404	
6.76696 1.10763	1.10946	1.03465	1.0337	0.998519	0.998792	
6.7831 1.10925	1.11109	1.03619	1.03524	0.999624	0.999898	
6.79923 1.10985	1.11171	1.03842	1.03747	1.00169	1.00197	
6.81536 1.11082	1.11269	1.03997	1.03902	1.00139	1.00167	
6.83149 1.11108	1.11296	1.04296	1.04201	1.00285	1.00312	
6.84762 1.11262	1.11452	1.04445	1.04351	1.00427	1.00454	
6.86375 1.11316	1.11507	1.04536	1.04442	1.00494	1.00521	
6.87988 1.11347	1.1154	1.04731	1.04637	1.00538	1.00566	
6.89601 1.11194	1.11387	1.04823	1.04729	1.00609	1.00636	
6.91214 1.11224	1.11419	1.04952	1.04859	1.00562	1.0059	
6.92827 1.11075	1.11271	1.05019	1.04927	1.00764	1.00792	
6.94441 1.11037	1.11235	1.05247	1.05155	1.00772	1.00801	
6.96054 1.10906	1.11105	1.05199	1.05107	1.00802	1.0083	
6.97667 1.10806	1.11006	1.05259	1.05167	1.00902	1.00931	
6.9928 1.10769	1.1097	1.05317	1.05226	1.00896	1.00925	
7.00893 1.10595	1.10796	1.05358	1.05268	1.00978	1.01007	
7.02506 1.10412	1.10614	1.05382	1.05292	1.01062	1.0109	
7.04119 1.10318	1.10522	1.05396	1.05307	1.01091	1.01119	
7.05732 1.10044	1.10248	1.05325	1.05237	1.01	1.01029	
7.07345 1.09861	1.10066	1.05381	1.05294	1.01082	1.01111	
7.08959 1.09671	1.09877	1.05326	1.05239	1.01083	1.01113	
7.10572 1.09481	1.09688	1.05329	1.05242	1.01012	1.01041	
7.12185 1.09208	1.09416	1.05282	1.05196	1.01017	1.01046	
7.13798 1.08881	1.09089	1.05168	1.05083	1.01025	1.01054	
7.15411 1.08703	1.08912	1.05119	1.05035	1.0104	1.01069	
7.17024 1.08418	1.08627	1.0516	1.05076	1.01072	1.01102	
7.18637 1.08202	1.08412	1.0501	1.04926	1.01085	1.01115	
7.2025 1.07955	1.08166	1.05009	1.04926	1.00988	1.01018	
