# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
30600 -16149.5 -20028.2 300.352 181.056 0.878483
30700 -16195.1 -20052.5 298.697 77.118 0.877194
30800 -16232.5 -20055.4 296.028 157.692 0.875079
30900 -16223.3 -20036.2 295.253 -3.96346 0.871854
31000 -16207.1 -20082.5 300.09 5.0234 0.868589
31100 -16236.8 -20073 297.056 -277.446 0.86601
31200 -16235.2 -20021.1 293.166 -185.002 0.866066
31300 -16131.9 -19999.4 299.488 125.63 0.867635
31400 -16097.4 -19970.1 299.883 78.7013 0.868309
31500 -16115.7 -19993.2 300.253 55.4623 0.868093
31600 -16188.1 -20017.9 296.566 -268.164 0.867582
31700 -16227.3 -20040.1 295.252 -229.464 0.869409
31800 -16212.7 -20046.2 296.851 74.2587 0.873165
31900 -16198.2 -20056.7 298.793 324.793 0.876076
32000 -16203 -20050.6 297.942 131.922 0.87626
32100 -16212.1 -20032.1 295.802 164.349 0.874661
32200 -16156.9 -20011.4 298.474 8.38678 0.871723
32300 -16076.6 -19967 301.259 -194.612 0.869114
32400 -16075.8 -19958.2 300.639 -50.0528 0.868087
32500 -16176.5 -19998.7 295.977 -206.569 0.868068
32600 -16210.8 -20029 295.664 -24.3373 0.869794
32700 -16187.7 -20038.2 298.175 22.3814 0.871876
32800 -16182.8 -20058.8 300.146 66.0572 0.873567
32900 -16239.7 -20021.1 292.814 -24.8742 0.874576
33000 -16253.7 -20031.8 292.561 -150.525 0.875895
33100 -16145.6 -20012.5 299.437 104 0.878444
33200 -16113.4 -19981 299.49 402.997 0.87994
33300 -16138.5 -20014.7 300.161 163.597 0.878021
33400 -16231.6 -20029.4 294.081 17.4175 0.874199
33500 -16251.7 -20028.8 292.481 -172.035 0.870364
33600 -16196 -20038.8 297.574 -96.9622 0.868289
33700 -16176.2 -20024.4 297.99 -343.835 0.867706
33800 -16161.9 -20020.8 298.816 -43.238 0.869718
33900 -16158.4 -20026.5 299.529 64.2331 0.872481
34000 -16228.5 -20050.7 295.978 -26.1821 0.87473
34100 -16275.2 -20055.3 292.719 81.9109 0.87694
34200 -16198.9 -20042.1 297.601 139.916 0.878427
34300 -16151.3 -20085.8 304.672 208.183 0.878524
34400 -16200.7 -20049.5 298.034 -19.0554 0.876814
34500 -16234.4 -20070.4 297.047 182.899 0.874741
34600 -16236 -20044.8 294.934 -109.349 0.871545
34700 -16119.8 -20010.4 301.276 -190.408 0.869245
34800 -16096.7 -20001.1 302.341 -182.096 0.868893
34900 -16147.5 -20001.5 298.44 -165.9 0.870225
35000 -16199.1 -20043.2 297.668 17.9907 0.873175
35100 -16240 -20078.9 297.274 155.212 0.876022
35200 -16294.4 -20106.2 295.172 -0.549982 0.877502
35300 -16382.9 -20109.1 288.543 71.0533 0.878404
35400 -16305.9 -20143.7 297.181 235.738 0.878695
35500 -16238.8 -20054.8 295.501 123.566 0.876903
35600 -16171.9 -20019.5 297.941 -179.019 0.874087
35700 -16124.4 -19972.2 297.963 -362.473 0.873183
35800 -16096.8 -19974.1 300.237 -83.2473 0.875271
35900 -16154.2 -19993.1 297.264 78.5805 0.878244
36000 -16267.5 -20113.9 297.847 -34.7249 0.880824
36100 -16306.1 -20118.7 295.234 140.305 0.883262
36200 -16275.3 -20122.9 297.944 154.866 0.884334
36300 -16187 -20074.9 301.061 94.4345 0.883603
36400 -16140.9 -20037.1 301.714 224.338 0.881745
36500 -16224.1 -20059.3 296.98 10.7078 0.8784
36600 -16327.3 -20104.1 292.456 -86.6399 0.875226
36700 -16280.2 -20091.4 295.125 -71.6158 0.873298
36800 -16210.1 -20035 296.191 4.60172 0.8721
36900 -16137.6 -19968.4 296.641 -130.546 0.871576
37000 -16093.7 -19958.9 299.301 -4.50768 0.871975
37100 -16099.5 -19978.1 300.348 -151.402 0.872781
37200 -16153.9 -19995.4 297.47 -136.438 0.87468
37300 -16238.3 -20063 296.171 11.1659 0.877421
37400 -16372.6 -20141.2 291.825 -101.864 0.879877
37500 -16384.5 -20193.6 294.961 144.371 0.882372
37600 -16331.4 -20143 295.154 202.884 0.883629
37700 -16268.2 -20139.9 299.802 4.94228 0.883171
37800 -16264.3 -20097 296.792 148.249 0.882184
37900 -16238.9 -20089.4 298.17 -77.4753 0.880482
38000 -16147 -20045 301.847 -62.0401 0.879349
38100 -16060.7 -19982.4 303.682 -66.4745 0.87881
38200 -16113.5 -19979.1 299.338 -59.6218 0.878907
38300 -16176.9 -20042.1 299.308 123.497 0.879332
38400 -16218.1 -20084.6 299.412 173.576 0.878729
38500 -16244.5 -20051.9 294.836 -46.716 0.876634
38600 -16210.5 -20031.4 295.878 -161.45 0.875091
38700 -16157.9 -20021.8 299.207 -64.3571 0.875187
38800 -16168.7 -20090 303.654 44.4669 0.875658
38900 -16237.7 -20068.9 296.674 -144.35 0.875835
39000 -16256.1 -20110 298.425 -116.901 0.877376
39100 -16270 -20102.8 296.8 -50.1549 0.880037
39200 -16302.9 -20123.7 295.871 -27.0045 0.883575
39300 -16333.2 -20138.9 294.701 357.839 0.886983
39400 -16298.8 -20144.3 297.784 227.368 0.887113
39500 -16222.9 -20091.7 299.585 52.0982 0.884955
39600 -16187.2 -20059.5 299.854 -160.309 0.882545
39700 -16209.2 -20042.1 296.808 -8.62752 0.881365
39800 -16269 -20080.1 295.117 189.338 0.880276
39900 -16300.7 -20116.1 295.449 -50.0818 0.877793
40000 -16258.9 -20079.6 295.864 -119.029 0.875665
40100 -16162.8 -20039.1 300.165 34.3543 0.874448
40200 -16146 -20010.9 299.278 -14.6838 0.873292
40300 -16177.2 -19998.1 295.878 -55.1217 0.872176
40400 -16173 -20005.3 296.759 -30.3453 0.871597
40500 -16095.7 -20001.2 302.422 18.0041 0.871469
40600 -16078.6 -19930.9 298.303 -164.577 0.871412
40700 -16081.6 -19961.2 300.424 74.7983 0.872537
40800 -16159.6 -20035.1 300.107 209.586 0.872901
40900 -16239.2 -20040.8 294.379 -116.332 0.871727
41000 -16210.2 -20056.4 297.834 -1.57649 0.871234
41100 -16153.4 -20005.2 298.268 228.594 0.870575
41200 -16087.1 -20016.7 304.293 -203.994 0.868211
41300 -16157.3 -19999.4 297.518 -278.344 0.867144
41400 -16230.1 -20013 292.934 -199.991 0.868876
41500 -16193.4 -20075.1 300.588 101.589 0.873034
41600 -16176.1 -19995.6 295.769 62.3964 0.877362
41700 -16092.7 -20007.3 303.132 222.583 0.88142
41800 -16077.5 -19999.4 303.694 448.632 0.883647
41900 -16195.7 -20016.6 295.879 -7.01455 0.882245
42000 -16209.9 -20055.4 297.781 134.333 0.87984
42100 -16201.1 -20065.3 299.224 160.478 0.875643
42200 -16222.6 -20052.5 296.574 -433.002 0.869843
42300 -16245.3 -20046.8 294.371 -298.139 0.867049
42400 -16191.5 -20043.9 298.314 -115.879 0.867515
42500 -16111.5 -19969.4 298.738 -280.634 0.869743
42600 -16058.3 -19942.7 300.797 85.2816 0.874132
42700 -16095.4 -20018.2 303.763 153.829 0.878257
42800 -16231.6 -20103.3 299.808 245.274 0.880675
42900 -16294.8 -20138.3 297.625 166.387 0.880745
43000 -16331.9 -20138.4 294.761 81.0309 0.879208
43100 -16286.7 -20100.9 295.359 89.6236 0.876754
43200 -16189.8 -20033.8 297.661 108.179 0.873595
43300 -16137.7 -20006.5 299.584 -373.679 0.870134
43400 -16134.1 -19987.6 298.398 -115.805 0.869706
43500 -16173.4 -20013.6 297.373 15.5793 0.870644
43600 -16271.7 -20037.3 291.587 -278.783 0.871768
43700 -16256.8 -20095.6 297.267 -160.716 0.875267
43800 -16135.4 -20011.6 300.158 109.916 0.879533
43900 -16100.3 -20007.5 302.554 186.699 0.882194
44000 -16169.5 -20037.8 299.545 342.65 0.882573
44100 -16239.4 -20101.1 299.034 80.9593 0.880011
44200 -16293.7 -20135.4 297.491 158.023 0.876855
44300 -16339.7 -20164.8 296.197 82.978 0.873147
44400 -16324.3 -20104 292.689 -410.142 0.869982
44500 -16265.4 -20103.9 297.241 -108.864 0.870506
44600 -16246.6 -20087.2 297.402 131.895 0.871977
44700 -16229.8 -20114 300.777 94.0054 0.872083
44800 -16259 -20052.4 293.748 -65.2042 0.871689
44900 -16224.1 -20081.7 298.717 -42.5243 0.871864
45000 -16147.4 -20030.5 300.693 39.8041 0.872277
45100 -16114.4 -19996.7 300.627 -4.52765 0.872506
45200 -16116.2 -19986.3 299.681 -146.927 0.87262
45300 -16184.9 -20043 298.757 18.8451 0.873926
45400 -16272.5 -20077.8 294.665 290.721 0.874925
45500 -16247.8 -20058 295.048 -60.7566 0.873616
45600 -16172.7 -20017.8 297.753 -81.0987 0.872584
45700 -16147.5 -20026.3 300.354 -83.8854 0.87253
45800 -16170.6 -20023.3 298.333 -150.503 0.873318
45900 -16210.5 -20064.1 298.407 11.8042 0.875335
46000 -16338.1 -20142.4 294.594 167.221 0.877512
46100 -16392.4 -20197.9 294.684 128.13 0.878038
46200 -16343.3 -20127.5 293.037 -111.374 0.877429
46300 -16245.5 -20081.5 297.047 -205.25 0.877836
46400 -16196.2 -20054.2 298.748 114.536 0.880224
46500 -16195.9 -20088.3 301.413 247.649 0.881833
46600 -16283.2 -20109.7 296.311 111.088 0.880909
46700 -16337.9 -20141 294.495 -4.4664 0.878647
46800 -16310 -20112.2 294.43 -61.3689 0.876462
46900 -16273.8 -20116 297.526 -48.7204 0.874585
47000 -16239.4 -20083.8 297.696 -204.171 0.873457
47100 -16202.6 -20062.5 298.891 28.42 0.874056
47200 -16170.8 -20067.3 301.73 -153.37 0.874898
47300 -16196.4 -20063.1 299.416 123.569 0.87699
47400 -16278.9 -20111 296.748 273.753 0.878161
47500 -16319.8 -20121.8 294.414 9.02864 0.876738
47600 -16259.4 -20077.8 295.684 -66.1613 0.874858
47700 -16149.5 -19997.4 297.963 17.0366 0.873473
47800 -16117.7 -20012.1 301.564 -106.822 0.871765
47900 -16164 -20008.4 297.696 -132.917 0.870651
48000 -16227.1 -20079.4 298.303 -347.891 0.871062
